Id,Ideology,Income,Interested,Looking,Name,Occupation,Party,Relationship,Religion,Birthday,Education,Ethnicity,Gender
MorningWatch,?,?,in Men and Women,?,?,?,Democratic Party,In a Relationship,?,?,?,White,?
paulsilasmills,?,?,?,?,?,?,?,?,?,?,?,?,?
Axzarla,?,?,?,?,?,Student,?,?,Atheist,?,High School,White,Female
Laitha,Libertarian,?,in Men,?,?,Student,Independent,Single,Christian,?,Bachelors Degree,White,Female
Omnipotent,?,?,?,"Friendship, Networking",?,?,?,?,Christian - Pentecostal,?,?,Asian,Male
roswelleric,?,?,?,?,?,?,?,?,?,?,?,?,Male
neilalwayswins,?,?,?,?,?,?,?,?,?,?,?,?,?
Alysia12345,?,?,?,?,?,?,?,?,?,?,?,?,Female
LizLennamae,Progressive,?,in Men,Friendship,?,Student,Democratic Party,Single,Christian - Catholic,?,?,White,?
shatteredeternity,?,?,?,?,?,?,?,?,?,?,?,?,?
einsteins_lost_son,?,?,?,?,?,?,?,?,?,?,?,?,?
Chemtrails,?,?,?,?,?,?,?,?,?,?,?,?,?
Ripplux,Conservative,?,in Women,"Friendship, A Relationship",?,?,Republican Party,Single,?,?,?,?,?
uglie-boy,?,?,in Women,?,?,?,?,In a Relationship,Atheist,?,?,White,Female
Knaveslayer99,Communist,?,in Men and Women,"Friendship, Dating, A Relationship",?,Retail,Communist Party,Single,Atheist,?,High School,White,Male
kumar.shreesh,?,?,?,?,Kumar Shreesh,?,?,?,?,?,?,?,Male
nmonaco,Moderate,?,?,?,?,?,Republican Party,?,Christian - Catholic,?,High School,White,?
Franklp,?,?,?,?,?,?,?,?,?,?,?,?,?
Andrea7,?,?,?,?,?,?,?,?,?,?,?,?,?
derpywallrus,?,?,?,?,?,?,?,?,?,?,?,?,?
AunaSophia,?,?,?,?,?,?,?,?,?,?,?,?,?
jamnew,?,?,?,?,?,?,?,?,?,?,?,?,?
ss5565,Liberal,?,in Women,?,?,Student,Democratic Party,Single,?,?,High School,?,Male
jmals,?,?,?,?,?,?,?,?,?,?,?,?,?
SanityX,?,?,?,?,?,?,?,?,?,?,?,?,?
Archaholic,Conservative,?,?,Networking,?,?,?,Single,?,?,Graduate Degree,?,Male
Brianjones01,Progressive,?,in Women,Networking,?,?,Independent,Single,Atheist,?,?,White,?
