Id,Ideology,Income,Interested,Looking,Name,Occupation,Party,Relationship,Religion,Education,Ethnicity,Gender,Age
MorningWatch,?,?,in Men and Women,?,?,?,Democratic Party,In a Relationship,?,?,White,?,?
LizLennamae,Progressive,?,in Men,Friendship,?,Student,Democratic Party,Single,Christian - Catholic,?,White,?,?
Ripplux,Conservative,?,in Women,"Friendship, A Relationship",?,?,Republican Party,Single,?,?,?,?,?
nmonaco,Moderate,?,?,?,?,?,Republican Party,?,Christian - Catholic,High School,White,?,?
ss5565,Liberal,?,in Women,?,?,Student,Democratic Party,Single,?,High School,?,Male,?
Conservative12,Conservative,?,in Women,?,?,Student,Republican Party,?,Christian - Catholic,?,White,Male,15
Sarkies6590,Conservative,?,in Men,"Dating, A Relationship",?,?,Republican Party,It's Complicated,Christian,High School,Middle Eastern,Female,?
Grandbudda,Libertarian,?,in Women,Networking,?,Self-Employed,Republican Party,Married,Christian,Bachelors Degree,White,Male,?
Mharman,Conservative,?,in Women,Dating,?,Student,Republican Party,Single,Christian - Lutheran,High School,White,Male,?
Likaboss98,Conservative,Other,in Women,"Friendship, A Relationship",?,Student,Republican Party,Single,Christian - Baptist,High School,White,Male,?
ElfLady80,Conservative,?,in Men,Friendship,?,?,Republican Party,Single,Christian,High School,White,Female,?
missbailey8,Liberal,?,in Men and Women,Friendship,Bailey Private,Student,Democratic Party,Engaged,Atheist,Associates Degree,White,Female,10
JP_Hatecraft,Liberal,?,?,?,?,?,Democratic Party,?,Agnostic,?,?,?,?
MLG_Pingu,Conservative,?,in Women,?,?,?,Republican Party,Single,Christian - Latter-Day Saints,?,?,Male,?
Scorchtheblaze,Conservative,?,in Women,Friendship,?,Student,Republican Party,In a Relationship,Christian,?,White,Male,?
numberwang,Liberal,?,?,?,?,Student,Democratic Party,?,Atheist,Some College,White,Male,?
Eliteninja,Liberal,?,in Men and Women,"Friendship, Networking",?,Student,Democratic Party,Single,?,?,Asian,?,?
Gogert777,Conservative,Other,in Women,"Friendship, A Relationship",?,Medical,Republican Party,?,Agnostic,High School,White,Male,?
Titanium_Conservative1776,Conservative,?,?,?,?,Student,Republican Party,?,Christian - Catholic,High School,White,Male,?
Yes_Man,Liberal,?,?,?,?,?,Democratic Party,?,Agnostic,?,White,Male,?
giraffelover,Conservative,"Less than $25,000",in Men and Women,Friendship,?,Other,Republican Party,Single,Christian - Protestant,High School,White,?,?
Matthew51,Conservative,?,?,?,?,Student,Republican Party,?,?,Other,?,?,?
MasterLibertarian,Libertarian,"Less than $25,000",in Women,"Friendship, Dating, A Relationship, Networking",?,Student,Republican Party,Single,Christian - Catholic,High School,White,?,?
Dpowell,Conservative,?,in Women,Friendship,?,?,Republican Party,Single,Christian,High School,White,Male,10
Hematite12,Socialist,"$35,000 to $50,000",in Women,Dating,?,Student,Democratic Party,Single,Agnostic,High School,White,?,?
luciomain,Undecided,?,in Women,"Friendship, A Relationship",?,Student,Democratic Party,Single,Muslim,?,Black,Male,?
Amazingfeminist1213,?,?,in Women,"Friendship, Networking",?,Student,Democratic Party,?,Christian,?,Other,?,?
Chele72,?,?,in Men,?,?,Self-Employed,Democratic Party,Married,Pagan,?,White,Female,?
bettabreeder,Green,?,in Women,"Friendship, A Relationship",?,Student,Democratic Party,Single,Atheist,Other,White,Male,?
1Historygenius,Conservative,"Less than $25,000",in Women,"Friendship, Networking",?,Student,Republican Party,Single,Christian - Catholic,Some College,White,Male,?
DannyHay,Liberal,?,in Men and Women,?,?,Student,Democratic Party,?,Atheist,?,?,?,?
Dragonblade,Conservative,?,?,?,?,Student,Republican Party,?,Christian - Baptist,?,White,Male,?
MarkDenbow,Conservative,?,?,?,?,?,Republican Party,Married,Christian,Some College,White,?,?
AizenKnaik,Other,?,in Men and Women,Networking,?,Student,Democratic Party,Single,?,?,Asian,?,?
Snakeeyesith,Undecided,?,in Women,"Friendship, Networking",Collin Private,Student,Democratic Party,In a Relationship,Christian - Baptist,Some College,White,Male,?
Dutch_Bacon,Conservative,?,?,?,?,?,Republican Party,?,Christian - Catholic,High School,White,?,?
OhioGary,Moderate,"$35,000 to $50,000",in Women,?,Gary Private,Other,Democratic Party,Married,Christian - Assemblies of God,Graduate Degree,White,Male,?
JacuPro,Conservative,?,?,?,?,?,Republican Party,?,Christian,?,White,?,?
Shadowblade40,Conservative,?,in Women,?,?,Student,Republican Party,?,Christian - Baptist,?,White,Male,?
SpentBrass,Conservative,?,?,?,?,?,Republican Party,?,Christian - Protestant,?,White,?,?
Prescott,Liberal,?,in Men and Women,"Friendship, Networking",?,Retail,Democratic Party,Married,?,?,White,Male,?
LiberalLogic101,Liberal,Other,in Men,Friendship,?,Medical,Democratic Party,In a Relationship,Agnostic,High School,White,Female,?
patrick967,Liberal,?,in Women,Friendship,?,?,Democratic Party,Single,Atheist,High School,White,Male,?
ashleynitchals,Conservative,?,?,?,?,?,Republican Party,?,?,Some College,White,?,?
Rasheed,Moderate,?,?,?,?,Self-Employed,Democratic Party,?,Muslim,?,Black,Male,?
Depth_Valor,Conservative,?,in Women,Friendship,?,Military,Democratic Party,In a Relationship,Atheist,High School,White,?,?
miss_spock,Green,?,?,?,?,?,Democratic Party,?,?,?,?,?,?
CostasTheGreek,Conservative,?,in Women,?,?,?,Republican Party,?,Christian - Greek Orthodox,Graduate Degree,White,?,?
DebatethatJack99,Conservative,?,in Women,?,?,?,Republican Party,Single,Christian,?,White,?,?
Jbmelk,Conservative,?,in Women,?,?,?,Republican Party,Single,Atheist,?,White,?,?
Superizer,Conservative,?,in Women,Dating,?,?,Republican Party,Single,Christian,High School,White,Male,?
LiberalAgenda,Liberal,?,in Women,?,?,?,Democratic Party,?,Agnostic,High School,Other,?,?
WesleyBucher1,Conservative,?,in Men,?,?,?,Republican Party,Single,Christian - Mennonite,High School,White,?,?
Tepping,Undecided,?,in Men and Women,Friendship,?,?,Democratic Party,Other,Jewish,?,White,Female,?
Caseo7,Undecided,?,in Women,Dating,?,?,Republican Party,Single,Christian - Baptist,?,White,Male,?
Sollock,Conservative,?,in Women,?,?,?,Republican Party,Single,Agnostic,?,Other,?,?
bsh1,Liberal,?,?,?,?,?,Democratic Party,?,Agnostic,Associates Degree,?,Male,?
KNHAV,Conservative,?,?,"Friendship, Networking",?,?,Republican Party,Married,?,?,?,Female,?
aayushs96,Libertarian,"$25,000 to $35,000",in Women,?,?,Teacher,Republican Party,Single,Atheist,High School,East Indian,?,?
evanjfarrar,Progressive,?,?,?,?,Student,Democratic Party,?,Atheist,?,White,Male,?
BIGC,Conservative,?,?,?,?,Student,Republican Party,Single,Christian - Latter-Day Saints,High School,White,?,?
